"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:MagneticBuzzer_PUI_AT-0927-TT-6-R","1",""
"C1,C6,C7,C8,C9,C11","100n","~","Capacitor_SMD:C_0805_2012Metric","6",""
"C2,C3,C12","22uf","~","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","3",""
"C4,C5","22p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C10","47uf","~","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","1",""
"D1","LL4148","http://www.vishay.com/docs/85557/ll4148.pdf","Diode_SMD:D_MiniMELF","1",""
"J1","Conn_02x25_Odd_Even","~","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical","1",""
"J2","SWD","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","BOOT 1/0","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1",""
"LD1","DRIVE0","~","LED_THT:LED_D3.0mm","1",""
"LD2","DRIVE1","~","LED_THT:LED_D3.0mm","1",""
"P1","ST-TF-003A","","ST-TF-003A:SUNTECH_ST-TF-003A","1",""
"Q1","BSS138","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","Package_TO_SOT_SMD:SOT-23","1",""
"Q2","MMBT3904","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1","4k7","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2,R3,R4,R5","1k","~","Resistor_SMD:R_0805_2012Metric","4",""
"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R22","1K","~","Resistor_SMD:R_0805_2012Metric","11",""
"R16,R17,R18,R19,R20,R21","10K","~","Resistor_SMD:R_0805_2012Metric","6",""
"R23","22","~","Resistor_SMD:R_0805_2012Metric","1",""
"S1","RIGHT","~","OpenFlops:PUSH_BUTTON_RIGHT_ANGLE","1",""
"S2","LEFT","~","OpenFlops:PUSH_BUTTON_RIGHT_ANGLE","1",""
"SW1","RESET","~","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"U1","LM1117-3.3","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","AT32F435RGT7","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00220364.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U3","74LS07","www.ti.com/lit/ds/symlink/sn74ls07.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U4","OLED-0.91-128x32","","Tersteeg:OLED-0.91-128x32","1",""
"Y1","8MHz","~","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","1",""
